shigeaki@sirius:~/放送大学/熱ゼミ2023$ python explicit_ChatGPT.py 
Time step 0: [ 0. 10. 20. 20. 20. 20.]
Time step 1: [ 0. 10. 15. 20. 20. 20.]
Time step 77: [ 0.          4.00000053  8.00000069 12.00000086 16.00000043 20.        ]
Time step 78: [ 0.          4.00000035  8.00000069 12.00000056 16.00000043 20.        ]
Time step 79: [ 0.          4.00000035  8.00000045 12.00000056 16.00000028 20.        ]
Time step 80: [ 0.          4.00000023  8.00000045 12.00000037 16.00000028 20.        ]
Time step 81: [ 0.          4.00000023  8.0000003  12.00000037 16.00000018 20.        ]
Time step 82: [ 0.          4.00000015  8.0000003  12.00000024 16.00000018 20.        ]
Time step 83: [ 0.          4.00000015  8.00000019 12.00000024 16.00000012 20.        ]
Time step 84: [ 0.          4.0000001   8.00000019 12.00000016 16.00000012 20.        ]
Time step 85: [ 0.          4.0000001   8.00000013 12.00000016 16.00000008 20.        ]
Time step 86: [ 0.          4.00000006  8.00000013 12.0000001  16.00000008 20.        ]
Time step 87: [ 0.          4.00000006  8.00000008 12.0000001  16.00000005 20.        ]
Time step 88: [ 0.          4.00000004  8.00000008 12.00000007 16.00000005 20.        ]
Time step 89: [ 0.          4.00000004  8.00000005 12.00000007 16.00000003 20.        ]
Time step 90: [ 0.          4.00000003  8.00000005 12.00000004 16.00000003 20.        ]
Time step 91: [ 0.          4.00000003  8.00000004 12.00000004 16.00000002 20.        ]
Time step 92: [ 0.          4.00000002  8.00000004 12.00000003 16.00000002 20.        ]
Time step 93: [ 0.          4.00000002  8.00000002 12.00000003 16.00000001 20.        ]
Time step 94: [ 0.          4.00000001  8.00000002 12.00000002 16.00000001 20.        ]
Time step 95: [ 0.          4.00000001  8.00000002 12.00000002 16.00000001 20.        ]
Time step 96: [ 0.          4.00000001  8.00000002 12.00000001 16.00000001 20.        ]
Time step 97: [ 0.          4.00000001  8.00000001 12.00000001 16.00000001 20.        ]
Time step 98: [ 0.          4.          8.00000001 12.00000001 16.00000001 20.        ]
Time step 99: [ 0.          4.          8.00000001 12.00000001 16.         20.        ]
shigeaki@sirius:~/放送大学/熱ゼミ2023$ 
